Channel,Date,Time,Sport,Competition,Event,Languaje,AceStream
25,26/10/2019,22:30 CEST,SOCCER,CHILE LEAGUE,COLO COLO-COQUIMBO UNIDO,SPA,acestream://bc55380ced2cbe0fc3789b555f42263999fcd7a2
26,26/10/2019,22:30 CEST,SOCCER,CHILE LEAGUE,COLO COLO-COQUIMBO UNIDO,SPA,acestream://bc55380ced2cbe0fc3789b555f42263999fcd7a2
5,26/10/2019,23:00 CEST,BASKETBALL,USA NBA,MILWAUKEE BUCKS-MIAMI HEAT,POR,acestream://c7ab91f9be4772a1e860beec92019dddeeb97907
6,26/10/2019,23:00 CEST,BASKETBALL,USA NBA,MILWAUKEE BUCKS-MIAMI HEAT,POR,acestream://c7ab91f9be4772a1e860beec92019dddeeb97907
13,26/10/2019,23:00 CEST,BASKETBALL,USA NBA,MILWAUKEE BUCKS-MIAMI HEAT,SPA,acestream://0b8dd38f5f792b8a570421713e7198d214558731
14,26/10/2019,23:00 CEST,BASKETBALL,USA NBA,MILWAUKEE BUCKS-MIAMI HEAT,SPA,acestream://0b8dd38f5f792b8a570421713e7198d214558731
31,26/10/2019,23:00 CEST,BASKETBALL,USA NBA,MILWAUKEE BUCKS-MIAMI HEAT,ENG,acestream://b8165267d64e836871bec3990c550ca5f3b2e6ff
32,26/10/2019,23:00 CEST,BASKETBALL,USA NBA,MILWAUKEE BUCKS-MIAMI HEAT,ENG,acestream://b8165267d64e836871bec3990c550ca5f3b2e6ff
27,27/10/2019,00:00 CEST,SOCCER,MEXICO LIGA MX,QUERETARO-PUMAS UNAM,SPA,acestream://10248cb98c9d552c607e6029851827933e7fb3c8
28,27/10/2019,00:00 CEST,SOCCER,MEXICO LIGA MX,QUERETARO-PUMAS UNAM,SPA,acestream://10248cb98c9d552c607e6029851827933e7fb3c8
25,27/10/2019,01:00 CEST,SOCCER,CHILE LEAGUE,ANTOFAGASTA-UNIVERSIDAD CONCEPCION,SPA,acestream://bc55380ced2cbe0fc3789b555f42263999fcd7a2
26,27/10/2019,01:00 CEST,SOCCER,CHILE LEAGUE,ANTOFAGASTA-UNIVERSIDAD CONCEPCION,SPA,acestream://bc55380ced2cbe0fc3789b555f42263999fcd7a2
